Type,Date,Category,Amount,Note
Expense,04-09-2023,Transportation,4361,Current Residence to Place 0
Expense,04-09-2023,Transportation,5815,Place 0 to Place P
Expense,03-09-2023,Health,29076,Doctor Fees
Expense,03-09-2023,Health,418694,2 Thyroid (1000) + cholesterol (220) + uric acid (220)
Expense,02-09-2023,Subscription,44777,Current Residence - Tata Play recharge
Expense,02-09-2023,Food,10467,Half lit  milk
Expense,01-09-2023,Transportation,11630,Current Residence to Place 1 bus stop highway
Expense,01-09-2023,Household,182016,Face towels + shampoo
Expense,01-09-2023,Transportation,7560,2 Place 1 to  mall
Expense,01-09-2023,Household,463762,Supermart
Expense,01-09-2023,Transportation,5815,2 Place 6 Stand to MS
Expense,01-09-2023,Transportation,14538,Place 1 bridge to Current Residence 2 seats
Expense,31-08-2023,Food,4361,Vadapav
Expense,31-08-2023,Food,20935,milk 1lit 
Expense,31-08-2023,Transportation,549536,2 Place 2 to Place 1 - Shree Sharma Travels
Income,30-08-2023,Salary,18934873,From workplace 
Income,30-08-2023,Interest,99440,interest paid
Expense,30-08-2023,Household,348912,Aqugurad PRV
Expense,29-08-2023,Household,20353,Tulsi plant+ pot
Expense,29-08-2023,Household,14538,Math tap repair
Expense,29-08-2023,Household,78505,3 bulbs 3 pencil cells
Expense,28-08-2023,Food,20353,Bhaji + vadapav + kachori+ tea
Expense,28-08-2023,Transportation,66293,Vadala road to Nehru Planetarium
Expense,28-08-2023,Food,132296,Home Food Delivery
Expense,27-08-2023,Transportation,23261,2 Place 0 to Place P return
Expense,27-08-2023,Household,29076,Mouse pad
Expense,27-08-2023,Transportation,8723,2 Current Residence to Place 0
Expense,27-08-2023,Transportation,7269,Place P station to Alfa market
Expense,27-08-2023,Food,4071,2 cups
Expense,27-08-2023,Other,1372387,Shopping at Alfa
Income,27-08-2023,Other,872280,From Family
Expense,27-08-2023,Household,29076,Mobile cover real mi note pro
Expense,26-08-2023,Food,5815,2 cutting chai
Expense,26-08-2023,Transportation,8723,2 Place 0 to Current Residence
Expense,26-08-2023,Household,3794418,Aqugurad water purifier
Expense,26-08-2023,Food,8723,Bhaji + vadapav
Expense,26-08-2023,Transportation,5815,Place 0 to Place 4 return
Expense,26-08-2023,Household,20353,Umbrella handle repair
Expense,26-08-2023,Household,578612,Supermart
Expense,25-08-2023,Food,93043,Home Food Delivery
Expense,25-08-2023,Household,603036,Smart point
Expense,24-08-2023,Food,17446,2 Vadapav 2 samosa pav
Expense,24-08-2023,Food,5234,Bread
Expense,24-08-2023,Food,20935,milk 1lit 
Expense,24-08-2023,Transportation,11630,2 Place 0 to Current Residence
Expense,24-08-2023,Transportation,8723,2 Place 5 to Place 0
Expense,24-08-2023,Subscription,45649,Permanent Residence - Tata Play recharge
Expense,24-08-2023,Health,61568,Suppliemnts
Expense,23-08-2023,Subscription,739984,Annual recharge
Expense,23-08-2023,Transportation,8723,
Expense,22-08-2023,Subscription,52628,Data booster pack
Expense,19-08-2023,Subscription,7269,Data booster pack
Expense,18-08-2023,Subscription,4361,Data booster pack
Expense,15-08-2023,Subscription,4361,Data booster pack
Expense,15-08-2023,Transportation,352866,2CC Place 2 to DDR Spl Train
Expense,11-08-2023,Food,24424,12 eggs
Expense,10-08-2023,Household,872280,Sofa covers
Expense,09-08-2023,Subscription,193937,Data booster pack
Income,31-07-2023,Salary,18938362,From workplace 
Expense,28-07-2023,Subscription,7269,Data booster pack
Income,27-07-2023,Interest,8141,interest paid
Expense,27-07-2023,Household,21807,Soap + dahya pav kg
Expense,26-07-2023,Transportation,14538,Permanent Residence to Motor Driving school
Expense,24-07-2023,Subscription,193937,Data booster pack
Expense,23-07-2023,Subscription,48266,Permanent Residence - Tata Play recharge
Expense,22-07-2023,Health,44777,2 All out refill
Expense,19-07-2023,Household,7269,flour mill
Expense,19-07-2023,Subscription,4361,Data booster pack
Expense,18-07-2023,Subscription,87519,Data booster pack
Expense,15-07-2023,Food,39253,Cookies & cream family pack
Expense,15-07-2023,Transportation,8723,within city
Expense,15-07-2023,Household,6251340,LG Washing Machine
Expense,15-07-2023,Transportation,14538,Permanent Residence to GH road
Expense,14-07-2023,Other,11630,Digilock room charges
Expense,14-07-2023,Subscription,87519,Data booster pack
Expense,14-07-2023,Food,363450,2 dozens mango + 1kg litchi
Expense,14-07-2023,Transportation,14538,Place 2 station to Permanent Residence
Expense,14-07-2023,Food,4361,Potato chips
Expense,14-07-2023,Transportation,11630,2 Current Residence to Place 0
Expense,14-07-2023,Transportation,11630,2 Place 0 to Place 3
Expense,13-07-2023,Education,3489,Gel pen Refills
Expense,12-07-2023,Food,127062,Domino's Pizza
Expense,12-07-2023,Food,13956,4 kachori
Expense,12-07-2023,Food,20935,milk 1lit 
Expense,12-07-2023,Food,20353,Catering Service
Expense,11-07-2023,Food,5815,1 packet
Expense,10-07-2023,Food,23261,2 Faluda
Income,10-07-2023,Other,275350,NEFT from Big Share Services
Expense,09-07-2023,Food,13084,Toast packet
Expense,09-07-2023,Subscription,3489,Mata + TOI + ET
Expense,09-07-2023,Subscription,57861,
Expense,09-07-2023,Food,10467,Half lit  milk
Expense,08-07-2023,Food,145380,Kaju katli half kg
Expense,08-07-2023,Food,20935,milk 1lit 
Expense,07-07-2023,Food,20935,milk 1lit 
Expense,07-07-2023,Transportation,5815,Mall parking
Expense,07-07-2023,Household,315765,Handwash container2 + window cleaner
Expense,07-07-2023,Food,125027,Home Food Delivery
Expense,07-07-2023,Subscription,149741,
Income,06-07-2023,Other,872280,From Family
Expense,04-07-2023,Household,10758,Supermart
Expense,04-07-2023,Food,20935,milk 1lit 
Expense,03-07-2023,Food,11630,Bhaji + vadapav
Expense,02-07-2023,Food,81413,Mango 1.5 kg
Expense,01-07-2023,Food,20935,milk 1lit 
