Type,Date,Category,Amount,Note
Expense,28-03-2023,Transportation,5815,Place 0 to Place 4 return
Expense,28-03-2023,Food,5815,1 packet
Expense,28-03-2023,Transportation,4361,Place 0 to Current Residence
Expense,28-03-2023,Household,11049,Idli pith 1kg
Expense,28-03-2023,Food,20062,1 lit 
Expense,28-03-2023,Food,7269,potato 1kg
Expense,27-03-2023,Food,20353,Catering Service
Expense,26-03-2023,Food,10177,Half lit  milk
Expense,25-03-2023,Household,79377,Smart point
Expense,24-03-2023,Food,4071,2 kg Bajari
Expense,24-03-2023,Food,47103,M D sure 3kg atta
Expense,24-03-2023,Health,8723,Cough-sills 4 pcs + sinarest 3 pcs
Expense,24-03-2023,Food,20062,1 lit 
Expense,23-03-2023,Food,111652,Home Food Delivery
Expense,22-03-2023,Food,2908,crack-jack 1 packi
Expense,22-03-2023,Food,13084,
Expense,22-03-2023,Subscription,52046,Permanent Residence - Tata Play recharge
Expense,21-03-2023,Food,4943,Flatbread 6 pcs
Expense,21-03-2023,Household,15410,Amul butter
Expense,21-03-2023,Food,5815,Flatbread 6 pcs
Expense,21-03-2023,Household,13375,Cakes
Expense,20-03-2023,Transportation,14538000,Two Wheeler Bikedelux second installment
Expense,20-03-2023,Food,63676,Fresh veggie pizza
Expense,20-03-2023,Food,12212,6 eggs
Expense,20-03-2023,Food,20062,1 lit 
Expense,18-03-2023,Household,47975,Bhagar 1kg 130 + idli pith 1kg 35
Expense,18-03-2023,Food,20062,1 lit 
Expense,17-03-2023,Food,82576,Chitale Srikhand
Expense,17-03-2023,Food,11049,onion 1 kg + half kg potato
Expense,17-03-2023,Transportation,11630,Place 0 to Place 3 returns
Expense,17-03-2023,Transportation,77342,Uber auto: Place 4 Station to Current Residence society
Expense,16-03-2023,Transportation,4361,Current Residence to Place 0
Expense,16-03-2023,Transportation,11630,Place 0 to Santacruz return
Expense,16-03-2023,Transportation,5815,station to Decathlon
Expense,16-03-2023,Household,232026,Vibrating electronic message tool
Expense,16-03-2023,Transportation,7269,Decathlon to station
Expense,16-03-2023,Transportation,11630,mumbai University Kalina to Santacruz station
Expense,16-03-2023,Transportation,6687,Pali hill to Bandra station
Expense,15-03-2023,Health,215162,Thyroid Tablets
Expense,14-03-2023,Household,65712,Smart point
Expense,14-03-2023,Health,145380,Family Thyroid Test
Expense,13-03-2023,Food,12212,6 eggs
Expense,13-03-2023,Food,20062,1 lit 
Expense,12-03-2023,Food,11630,2 packets
Expense,11-03-2023,Food,9886,Flatbread 12 pcs
Expense,11-03-2023,Food,20062,1 lit 
Expense,10-03-2023,Food,5815,Vadapav
